university,URL,Acronym,country,ranking_latin_america,ranking_world,Presence, Impact ,Opening ,excellence ,accessibility_errors,accessibility_alerts,accessibility_features,structural_elements,html5_aria,contrast_errors
UNIESP Faculdade Centro Paulista FACEP,http://www.facep.edu.br/,facep,Brazil,3191,23978,21987,24055,8635,5778,32,31,0,56,32,12
Faculdade Sul Brasil,http://fasul.edu.br/,fasul,Brazil,1442,15706,6768,17848,8336,5778,32,28,0,10,28,7
Instituto Tecnológico Superior de Zacatecas Norte,http://www.itszn.edu.mx/,itszn,Mexico,3177,23922,24138,23564,8635,5778,31,108,45,38,33,13
Faculdade Lourenço Filho FLF,http://www.flf.edu.br/,flf,Brazil,2341,20469,20551,19920,8635,5778,31,100,32,65,10,49
Senac Minas Gerais,http://www.mg.senac.br/,mg,Brazil,1060,12269,12481,10608,8635,5778,31,8,22,16,13,14
Universidade FUMEC,http://www.fumec.br/,fumec,Brazil,321,3745,4385,5435,3118,4330,31,13,6,103,0,66
UNIESP Faculdade de Ciências Contábeis e Administrativas de Avaré FACCAA,http://www.faculdadefaccaa.edu.br/,faculdadefaccaa,Brazil,3600,25769,22401,25849,8635,5778,31,31,0,56,32,12
Universidad Itaca,http://i.edu.mx/,i,Mexico,1869,18308,12125,18990,8635,5778,30,42,61,70,2,43
Universidad Americana de Morelos,http://uam.edu.mx/,uam,Mexico,2614,21607,16611,22167,8635,5778,30,12,39,23,9,16
Faculdade Vale do Salgado FVS,http://www.fvs.edu.br/,fvs,Brazil,2166,19686,7575,21552,8635,5778,30,60,27,66,2,72
Universidad Tecnológica de Tecamachalco,http://www.uttecam.edu.mx/,uttecam,Mexico,1755,17674,10035,18568,8635,5778,30,22,22,17,1,37
Universidad Dorados,http://www.universidaddorados.edu.mx/,universidaddorados,Mexico,2971,23059,24116,22396,8635,5778,30,20,6,32,13,16
Universidad de Montevideo,http://www.um.edu.uy/,um,Uruguay,349,3921,2746,7377,4132,4142,30,19,0,71,7,79
Universidad Motolinia del Pedregal,http://www.ump.mx/,ump,Mexico,2027,19052,21393,17848,8635,5778,29,29,13,51,26,48
Escuela Colombiana de Ingeniería Julio Garavito,http://www.escuelaing.edu.co/,escuelaing,Colombia,456,4792,4206,9069,5617,4330,29,39,4,17,0,27
Instituto Técnico de Administración de Empresas,http://www.itae.edu.pe/,itae,Peru,3467,25140,24924,24932,8635,5778,29,1,3,18,7,10
Instituto Superior de Estudios Eclesiásticos,http://www.isee.edu.mx/,isee,Mexico,2805,22450,20610,22396,8635,5778,29,21,1,16,3,109
Instituto Superior de Educación Rural,http://www.iser.edu.co/,iser,Colombia,1851,18208,13361,18634,8635,5778,28,40,39,44,0,4
Centro Universitário Newton Paiva,http://www.newtonpaiva.br/,newtonpaiva,Brazil,749,8423,10907,10363,8635,4673,28,25,34,43,7,38
Fundação Educacional Montes Claros,http://www.femc.edu.br/,femc,Brazil,1911,18512,10558,19655,8635,5778,28,16,1,31,0,17
Faculdade de Dança Angel Vianna,http://www.escolaangelvianna.com.br/,escolaangelvianna,Brazil,2199,19871,19823,19356,8635,5778,28,7,1,12,7,9
Fundación John Langdon Down,http://www.fjldown.org/,fjldown,Mexico,2346,20499,24285,18818,8635,5778,28,32,0,40,8,43
Universidad Tecnológica Metropolitana,http://www.utem.cl/,utem,Chile,448,4749,6925,6369,6935,4482,27,16,34,95,57,76
Faculdades Integradas de Santa Fé do Sul FUNEC,http://www.funecsantafe.edu.br/,funecsantafe,Brazil,1618,16958,9341,17787,8635,5778,27,30,24,28,0,36
Escuela de Posgrados de La Fuerza Aérea Colombiana,https://www.epfac.edu.co/,epfac,Colombia,2807,22474,8432,24301,8635,5778,27,83,20,21,9,24
Faculdade Baiana de Direito,http://www.faculdadebaianadedireito.com.br/,faculdadebaianadedireito,Brazil,2176,19748,18772,19437,8635,5778,27,23,20,42,11,3
Instituto Universitario IDEA,http://www.ideared.org/,ideared,Argentina,851,9880,14807,6752,8635,5778,27,48,11,133,28,76
Universidad de la Vera-Cruz,http://uvc.edu.mx/,uvc,Mexico,2782,22386,17631,22825,8635,5778,26,14,14,44,10,7
Senai São Paulo,http://www.sp.senai.br/,sp,Brazil,574,6126,5969,6198,6180,5778,26,89,6,75,16,106
Faculdade Salesiana de Santa Teresa FSST,http://www.fsst.com.br/,fsst,Brazil,3430,24953,15404,25516,8635,5778,26,29,6,26,0,48
Universidad Nacional del Oriente,http://www.uno.edu.bo/,uno,Bolivia ,2316,20337,24486,18510,8635,5778,26,37,1,43,83,17
União das Faculdades dos Grandes Lagos,http://www.unilago.edu.br/,unilago,Brazil,1850,18204,15853,18046,8635,5778,26,28,0,28,64,37
Universidad Antonio Nariño,http://www.uan.edu.co/,uan,Colombia,115,2029,2234,8245,337,1436,25,218,37,84,4,47
Universidad Tecnológica del Centro de Veracruz,http://www.utcv.edu.mx/,utcv,Mexico,1651,17140,6180,18687,8635,5778,25,140,30,139,10,3
Universidad del Valle de Tlaxcala,http://univalletlax.edu.mx/,univalletlax,Mexico,2248,20091,13916,20909,8635,5778,25,16,26,26,18,33
Universidad La Salle de La Paz,http://www.ulasalle.edu.bo/,ulasalle,Bolivia ,2317,20337,12357,21461,8635,5778,25,55,22,92,16,40
